Album Name,Apple ID Number,Apple Music Subscription,Container Album Name,Container Artist Name,Container Type,End Position In Milliseconds,End Reason Type,Event End Timestamp,Event Type,Feature Name,Item Type,Media Duration In Milliseconds,Media Type,Play Duration Milliseconds,Song Name,Source Type
A Night at the Opera,0,TRUE,A Night at the Opera,Queen,ALBUM,354000,NATURAL_END_OF_TRACK,2024-03-15T18:42:31Z,PLAY_END,library,ITUNES_STORE_CONTENT,354000,AUDIO,354000,Bohemian Rhapsody,ORIGINATING_DEVICE
Melophobia,0,TRUE,Melophobia,Cage The Elephant,ALBUM,235000,NATURAL_END_OF_TRACK,2024-03-15T18:48:10Z,PLAY_END,library,ITUNES_STORE_CONTENT,235000,AUDIO,235000,Cigarette Daydreams,ORIGINATING_DEVICE
Graduation,0,TRUE,Graduation,Kanye West,ALBUM,312000,TRACK_SKIPPED_FORWARDS,2024-03-15T18:52:22Z,PLAY_END,library,ITUNES_STORE_CONTENT,312000,AUDIO,312000,Stronger,ORIGINATING_DEVICE
Melophobia,0,TRUE,Melophobia,Cage The Elephant,ALBUM,235000,NATURAL_END_OF_TRACK,2024-03-16T09:14:55Z,PLAY_END,library,ITUNES_STORE_CONTENT,235000,AUDIO,235000,Cigarette Daydreams,ORIGINATING_DEVICE
Fine Line,0,TRUE,Fine Line,Harry Styles,ALBUM,174000,NATURAL_END_OF_TRACK,2024-03-16T09:18:01Z,PLAY_END,library,ITUNES_STORE_CONTENT,174000,AUDIO,174000,Watermelon Sugar,ORIGINATING_DEVICE
Fine Line,0,TRUE,Fine Line,Harry Styles,ALBUM,45000,TRACK_SKIPPED_FORWARDS,2024-03-16T09:18:46Z,PAUSE,library,ITUNES_STORE_CONTENT,174000,AUDIO,45000,Watermelon Sugar,ORIGINATING_DEVICE
Brother Love's Travelling Salvation Show,0,TRUE,Brother Love's Travelling Salvation Show,Neil Diamond,ALBUM,202000,NATURAL_END_OF_TRACK,2024-03-17T12:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,202000,AUDIO,202000,Sweet Caroline,ORIGINATING_DEVICE
"An Album, with comma",0,TRUE,"An Album, with comma",Some Artist,ALBUM,180000,NATURAL_END_OF_TRACK,2024-03-17T12:05:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,180000,AUDIO,180000,"Title, with comma",ORIGINATING_DEVICE
Quoted Album,0,TRUE,Quoted Album,Another Artist,ALBUM,220000,NATURAL_END_OF_TRACK,2024-03-17T12:10:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,220000,AUDIO,220000,"Title with ""quotes""",ORIGINATING_DEVICE
Melophobia,0,TRUE,Melophobia,Cage The Elephant,ALBUM,235000,NATURAL_END_OF_TRACK,2024-03-18T20:00:00Z,PLAY_END,library,ITUNES_STORE_CONTENT,235000,AUDIO,235000,Cigarette Daydreams,ORIGINATING_DEVICE
